City,Country,Latitude,Longitude,Recorded Time,Temperature C,Feels Like C,Humidity %,Precipitation mm,Rain mm,Cloud Cover %,Pressure hPa,Wind Speed kmh,Wind Direction,Weather Code,Temperature Change,Humidity Change,Pressure Change,Wind Change,Cloud Change,Rain Change,Change Score,Change Level
Chennai,India,13.08784,80.27847,2026-09-03T14:45,34.4,38.8,50.0,0.0,0.0,100.0,1004.0,5.8,112.0,3.0,0,0,0,0,0,0,0,NORMAL
Chennai,India,13.08784,80.27847,2026-09-03T15:15,33.6,37.7,55.0,0.0,0.0,99.0,1003.6,10.3,115.0,3.0,-0.8,5.0,-0.4,4.5,-1.0,0.0,1,NORMAL
Chennai,India,13.08784,80.27847,2026-09-03T15:30,33.2,37.3,57.0,0.0,0.0,99.0,1003.5,11.7,119.0,3.0,-0.4,2.0,-0.1,1.4,0.0,0.0,0,NORMAL
Chennai,India,13.08784,80.27847,2026-09-03T15:45,32.8,36.9,59.0,0.1,0.1,99.0,1003.5,12.0,126.0,51.0,-0.4,2.0,0.0,0.3,0.0,0.1,1,NORMAL
Chennai,India,13.08784,80.27847,2026-09-03T16:00,32.5,36.6,60.0,0.1,0.1,100.0,1003.6,12.1,137.0,51.0,-0.3,1.0,0.1,0.1,1.0,0.0,0,NORMAL
Chennai,India,13.08784,80.27847,2026-09-03T16:15,32.2,36.3,61.0,0.1,0.1,100.0,1003.7,12.1,148.0,51.0,-0.3,1.0,0.1,0.0,0.0,0.0,0,NORMAL
Chennai,India,13.08784,80.27847,2026-09-03T16:30,31.9,36.0,62.0,0.1,0.1,100.0,1003.8,12.2,156.0,51.0,-0.3,1.0,0.1,0.1,0.0,0.0,0,NORMAL
Chennai,India,13.08784,80.27847,2026-09-04T10:45,34.6,40.6,48.0,0.0,0.0,66.0,1008.6,4.3,287.0,2.0,2.7,-14.0,4.8,-7.9,-34.0,-0.1,8,STRONG CHANGE
Chennai,India,13.08784,80.27847,2026-09-04T11:00,34.9,41.2,47.0,0.0,0.0,68.0,1008.5,3.6,297.0,2.0,0.3,-1.0,-0.1,-0.7,2.0,0.0,0,NORMAL
Chennai,India,13.08784,80.27847,2026-09-04T11:15,35.2,41.8,46.0,0.0,0.0,70.0,1008.4,3.0,308.0,2.0,0.3,-1.0,-0.1,-0.6,2.0,0.0,0,NORMAL
Chennai,India,13.08784,80.27847,2026-09-04T13:30,32.3,37.9,61.0,0.0,0.0,100.0,1006.2,2.9,227.0,3.0,-2.9,15.0,-2.2,-0.1,30.0,0.0,6,Early CHANCE
Chennai,India,13.08784,80.27847,2026-09-04T13:45,32.4,38.1,61.0,0.0,0.0,99.0,1006.0,2.6,205.0,3.0,0.1,0.0,-0.2,-0.3,-1.0,0.0,0,NORMAL
