City,Country,Latitude,Longitude,Recorded Time,Temperature C,Feels Like C,Humidity %,Precipitation mm,Rain mm,Cloud Cover %,Pressure hPa,Wind Speed kmh,Wind Direction,Weather Code
Chennai,India,13.08784,80.27847,2026-09-03T14:45,34.4,38.8,50,0.0,0.0,100,1004.0,5.8,112,3
Chennai,India,13.08784,80.27847,2026-09-03T15:15,33.6,37.7,55,0.0,0.0,99,1003.6,10.3,115,3
Chennai,India,13.08784,80.27847,2026-09-03T15:30,33.2,37.3,57,0.0,0.0,99,1003.5,11.7,119,3
Chennai,India,13.08784,80.27847,2026-09-03T15:30,33.2,37.3,57,0.0,0.0,99,1003.5,11.7,119,3
Chennai,India,13.08784,80.27847,2026-09-03T15:45,32.8,36.9,59,0.1,0.1,99,1003.5,12.0,126,51
Chennai,India,13.08784,80.27847,2026-09-03T16:00,32.5,36.6,60,0.1,0.1,100,1003.6,12.1,137,51
Chennai,India,13.08784,80.27847,2026-09-03T16:00,32.5,36.6,60,0.1,0.1,100,1003.6,12.1,137,51
Chennai,India,13.08784,80.27847,2026-09-03T16:15,32.2,36.3,61,0.1,0.1,100,1003.7,12.1,148,51
Chennai,India,13.08784,80.27847,2026-09-03T16:30,31.9,36.0,62,0.1,0.1,100,1003.8,12.2,156,51
Chennai,India,13.08784,80.27847,2026-09-03T16:30,31.9,36.0,62,0.1,0.1,100,1003.8,12.2,156,51
Chennai,India,13.08784,80.27847,2026-09-04T10:45,34.6,40.6,48,0.0,0.0,66,1008.6,4.3,287,2
Chennai,India,13.08784,80.27847,2026-09-04T11:00,34.9,41.2,47,0.0,0.0,68,1008.5,3.6,297,2
Chennai,India,13.08784,80.27847,2026-09-04T11:15,35.2,41.8,46,0.0,0.0,70,1008.4,3.0,308,2
Chennai,India,13.08784,80.27847,2026-09-04T13:30,32.3,37.9,61,0.0,0.0,100,1006.2,2.9,227,3
Chennai,India,13.08784,80.27847,2026-09-04T13:45,32.4,38.1,61,0.0,0.0,99,1006.0,2.6,205,3
Chennai,India,13.08784,80.27847,2026-09-04T14:30,32.4,37.9,63,0.0,0.0,90,1005.5,5.1,144,3
Marthandam,India,8.30812,77.22144,2026-09-04T14:30,32.7,35.3,55,0.2,0.1,48,1002.9,21.3,278,53
Marthandam,India,8.30812,77.22144,2026-09-04T14:30,32.7,35.3,55,0.2,0.1,48,1002.9,21.3,278,53
Marthandam,India,8.30812,77.22144,2026-09-04T14:45,32.6,35.1,55,0.0,0.0,46,1002.9,20.4,282,1
Marthandam,India,8.30812,77.22144,2026-09-04T15:00,32.5,35.0,55,0.0,0.0,45,1003.0,19.2,287,1
Marthandam,India,8.30812,77.22144,2026-09-04T15:00,32.5,35.0,55,0.0,0.0,45,1003.0,19.2,287,1
